year,month,state,rto,fuel_segment,fuel_type,fuel_filter,vehicle_category_filter,norms_filter,vehicle_class_filter,vehicle_count,scraped_at,source_url
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,NOT APPLICABLE,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,703,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,33438,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL(E20)/CNG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,0,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL(E20)/HYBRID/CNG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,0,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL/CNG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,1,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL/HYBRID,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,243,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Chhattisgarh,All Vahan4 Running Office,NON_EV,PETROL/LPG,ALL,ALL,CEV STAGE V,CONSTRUCTION EQUIPMENT VEHICLE,1,2026-07-17T15:55:43.697Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,CNG ONLY,ALL,ALL,ALL,ALL,3310,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,DIESEL,ALL,ALL,ALL,ALL,1344,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,DIESEL/HYBRID,ALL,ALL,ALL,ALL,0,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,EV,ELECTRIC(BOV),ALL,ALL,ALL,ALL,5995,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,PETROL,ALL,ALL,ALL,ALL,33749,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
2022,3,Delhi,All Vahan4 Running Office,NON_EV,PETROL(E20)/CNG,ALL,ALL,ALL,ALL,0,2026-07-28T12:47:31.358Z,https://vahan.parivahan.gov.in/vahan4dashboard/vahan/view/reportview.xhtml
